,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
7604,25003,2816.0,35.8,35878.0,22871.0,376.0
7605,25005,101.0,57.8,-666666666.0,12750.0,60.0
7606,25007,900.0,34.9,50938.0,15951.0,116.0
7607,25008,126.0,28.8,-666666666.0,5848.0,84.0
7608,25009,1277.0,41.6,56103.0,18582.0,246.0
7609,25011,1250.0,34.5,70087.0,22820.0,70.0
7610,25015,4500.0,46.3,42254.0,21744.0,521.0
7611,25019,619.0,40.9,26618.0,13798.0,186.0
7612,25021,324.0,31.3,17757.0,11647.0,224.0
7613,25022,154.0,38.5,-666666666.0,17389.0,69.0
7614,25024,533.0,34.8,35385.0,18416.0,160.0
7615,25025,105.0,77.5,56149.0,37750.0,0.0
7616,25028,374.0,49.3,35556.0,26248.0,71.0
7617,25030,354.0,62.6,45109.0,16451.0,129.0
7618,25031,974.0,34.1,43988.0,20004.0,117.0
7619,25033,1951.0,41.2,43869.0,20896.0,228.0
7620,25035,1082.0,44.1,24362.0,14888.0,262.0
7621,25036,593.0,45.0,39861.0,19640.0,49.0
7622,25039,1016.0,44.5,43454.0,19541.0,209.0
7623,25040,566.0,39.1,45139.0,20444.0,0.0
7624,25043,1452.0,37.8,27317.0,16571.0,340.0
7625,25044,261.0,53.0,35341.0,10962.0,88.0
7626,25045,5064.0,42.4,39730.0,20379.0,815.0
7627,25047,276.0,36.2,20000.0,8090.0,117.0
7628,25048,61.0,54.9,-666666666.0,10151.0,21.0
7629,25049,529.0,28.8,40962.0,17473.0,44.0
7630,25051,230.0,46.4,-666666666.0,18950.0,128.0
7631,25053,4555.0,38.4,35072.0,17619.0,1423.0
7632,25054,533.0,46.6,41688.0,14934.0,137.0
7633,25057,382.0,34.3,45650.0,20916.0,85.0
7634,25059,629.0,49.0,43750.0,22152.0,54.0
7635,25060,369.0,40.3,54565.0,16646.0,74.0
7636,25061,750.0,61.1,58030.0,19507.0,116.0
7637,25062,150.0,63.6,33203.0,18477.0,29.0
7638,25063,1663.0,51.6,30098.0,19477.0,290.0
7639,25064,9359.0,42.4,42469.0,24828.0,1512.0
7640,25067,938.0,43.6,56667.0,23561.0,108.0
7641,25070,1669.0,39.4,47019.0,24809.0,83.0
7642,25071,12347.0,45.7,48708.0,26064.0,1390.0
7643,25075,631.0,51.0,39342.0,20071.0,135.0
7644,25076,368.0,56.0,20125.0,13599.0,138.0
7645,25081,1043.0,42.0,91250.0,39146.0,131.0
7646,25082,1816.0,31.6,39940.0,18618.0,490.0
7647,25083,929.0,42.5,41188.0,16406.0,293.0
7648,25085,998.0,44.7,41917.0,16793.0,223.0
7649,25086,748.0,52.7,43864.0,20166.0,111.0
7650,25088,135.0,54.8,13152.0,11475.0,55.0
7651,25090,143.0,58.8,33365.0,22127.0,0.0
7652,25093,182.0,55.5,-666666666.0,12772.0,85.0
7653,25102,233.0,32.6,32708.0,16539.0,51.0
7654,25103,193.0,20.6,-666666666.0,11135.0,15.0
7655,25106,399.0,48.3,21625.0,12835.0,112.0
7656,25107,379.0,56.0,49750.0,27521.0,80.0
7657,25108,549.0,54.7,56429.0,28974.0,42.0
7658,25109,458.0,40.9,-666666666.0,30094.0,107.0
7659,25110,379.0,53.2,50035.0,27901.0,44.0
7660,25111,515.0,47.5,34375.0,22223.0,63.0
7661,25112,141.0,19.9,-666666666.0,4094.0,0.0
7662,25113,800.0,50.2,49700.0,26394.0,31.0
7663,25114,612.0,38.9,-666666666.0,16741.0,290.0
7664,25115,125.0,39.1,24167.0,11401.0,45.0
7665,25118,775.0,45.9,39115.0,21703.0,37.0
7666,25119,353.0,34.4,41875.0,12836.0,73.0
7667,25121,742.0,43.1,26921.0,13188.0,100.0
7668,25123,3359.0,46.5,40972.0,22022.0,496.0
7669,25124,1548.0,46.1,53095.0,25872.0,136.0
7670,25125,866.0,50.4,35739.0,16336.0,126.0
7671,25126,47.0,49.9,69063.0,44796.0,0.0
7672,25130,3386.0,45.0,38981.0,25368.0,674.0
7673,25132,195.0,14.9,36458.0,9100.0,117.0
7674,25133,1165.0,33.2,20250.0,13347.0,483.0
7675,25134,505.0,43.6,52054.0,24940.0,0.0
7676,25136,1905.0,30.7,23813.0,18553.0,372.0
7677,25139,398.0,49.3,39971.0,30249.0,111.0
7678,25140,1488.0,38.7,27717.0,12668.0,424.0
7679,25141,239.0,53.0,21094.0,9970.0,123.0
7680,25142,259.0,56.0,44107.0,30249.0,32.0
7681,25143,8055.0,45.3,47733.0,28900.0,908.0
7682,25148,451.0,39.6,37813.0,12190.0,136.0
7683,25149,210.0,33.2,34152.0,14078.0,57.0
7684,25152,302.0,57.5,29917.0,21845.0,59.0
7685,25154,610.0,40.0,22420.0,17534.0,263.0
7686,25156,71.0,66.6,16458.0,10013.0,25.0
7687,25159,5581.0,39.8,50640.0,21428.0,1193.0
7688,25160,143.0,35.1,-666666666.0,8567.0,25.0
7689,25161,327.0,40.3,59554.0,19762.0,0.0
7690,25162,462.0,42.6,57500.0,26815.0,55.0
7691,25164,1102.0,47.1,36125.0,15966.0,235.0
7692,25165,500.0,46.7,45982.0,25874.0,79.0
7693,25168,2220.0,39.8,43352.0,21406.0,213.0
7694,25169,689.0,32.7,39643.0,13177.0,319.0
7695,25173,362.0,51.9,28438.0,12101.0,137.0
7696,25174,613.0,28.5,51719.0,22695.0,49.0
7697,25177,24171.0,43.4,46121.0,24979.0,4139.0
7698,25180,14.0,-666666666.0,-666666666.0,,0.0
7699,25181,1334.0,47.8,32208.0,19519.0,436.0
7700,25183,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
7701,25185,956.0,39.2,-666666666.0,5036.0,0.0
7702,25186,968.0,41.2,33750.0,18391.0,247.0
7703,25187,841.0,52.2,67552.0,25217.0,51.0
7704,25193,395.0,39.2,40833.0,24896.0,94.0
7705,25201,29.0,-666666666.0,-666666666.0,,29.0
7706,25202,1224.0,38.8,45150.0,24773.0,226.0
