clearance_date,clearance_status,council_district,go_census_tract,go_district,go_highest_offense_desc,go_location,go_location_zip,go_primary_key,go_report_date,go_x_coordinate,go_y_coordinate,highest_nibrs_ucr_offense_description
,,7,18.39,E,THEFT BY SHOPLIFTING          ,12901 N IH 35 SVRD NB                                                                               ,78753,20165000053,1-Jan-16,3135313,10124219,Theft
14-Jan-16,N,9,14.01,H,BURGLARY OF VEHICLE           ,127 E RIVERSIDE DR                                                                                  ,78704,20165000059,1-Jan-16,3113416,10066258,Theft
4-Jan-16,N,3,9.02,G,BURGLARY OF VEHICLE           ,E 5TH ST / ONION ST                                                                                 ,78702,20165000061,1-Jan-16,3119041,10068828,Theft
14-Jan-16,N,1,9.01,G,BURGLARY OF VEHICLE           ,EMBASSY DR / E 9TH ST                                                                               ,78702,20165000062,1-Jan-16,3117723,10070838,Theft
5-Jan-16,N,9,11,G,THEFT                         ,208 NUECES ST                                                                                       ,78701,20165000064,1-Jan-16,3112113,10070173,Theft
4-Jan-16,N,9,3.02,B,BURGLARY OF VEHICLE           ,1000 E 41ST ST                                                                                      ,78751,20165000068,1-Jan-16,3121345,10082705,Theft
4-Jan-16,N,4,18.12,I,BURGLARY OF VEHICLE           ,7210 PROVIDENCE AVE                                                                                 ,78752,20165000069,1-Jan-16,3128221,10093769,Theft
11-Jan-16,N,4,18.04,I,THEFT FROM BUILDING           ,7622 N IH 35 SVRD SB                                                                                ,78752,20165000071,1-Jan-16,3126582,10096813,Theft
14-Jan-16,N,9,3.07,C,BURGLARY OF VEHICLE           ,3909 N IH 35 NB                                                                                     ,78722,20165000072,1-Jan-16,3121812,10081368,Theft
14-Jan-16,N,1,9.01,G,BURGLARY OF VEHICLE           ,809 E 9TH ST                                                                                        ,78702,20165000074,1-Jan-16,3117459,10070829,Theft
4-Jan-16,N,9,3.02,B,BURGLARY OF VEHICLE           ,1000 E 41ST ST                                                                                      ,78751,20165000075,1-Jan-16,3121345,10082705,Theft
